areas, ws, hs
cxs[i],cys[i],object_areas[i],ws[i],hs[i],framenr[i]

8810.273885350318,192.2675159235669,85.85987261146497
118.3893214682981,180.19021134593993,449.5,34.0,35.0,308.0
119.71559034572732,180.08545335942594,511.0,34.0,39.0,309.0
129.22413793103448,175.5785440613027,261.0,20.0,21.0,310.0
130.09619341563786,175.23508230452674,324.0,26.0,21.0,311.0
123.29046369203849,181.29177602799646,762.0,41.0,37.0,312.0
123.35254854368932,181.88147249190936,824.0,44.0,36.0,313.0
124.11975028376844,182.0283768444949,881.0,46.0,37.0,314.0
124.72466184917546,182.80841208078562,899.5,46.0,36.0,315.0
127.09141696292534,183.10123582190622,984.5,54.0,36.0,316.0
129.33204022988505,182.58204022988505,1160.0,58.0,38.0,317.0
131.55207076799357,182.25948264307732,1243.5,61.0,39.0,318.0
134.41941074523396,181.20739456961294,1442.5,64.0,49.0,319.0
136.92724952137843,180.5544564986173,1567.0,68.0,51.0,320.0
139.32267839687194,180.00977517106548,1705.0,71.0,52.0,321.0
141.82875189040118,179.73569967084777,1873.5,74.0,53.0,322.0
144.1135360470819,179.54005231322543,2039.0,77.0,55.0,323.0
146.76577622919086,178.93108788230737,2152.5,78.0,55.0,324.0
149.19420418422413,178.62179345013675,2254.5,80.0,56.0,325.0
151.70479256080114,177.89163090128756,2330.0,82.0,58.0,326.0
153.91194455768448,177.34597091996193,2453.0,85.0,58.0,327.0
156.05689779349177,177.228966149414,2545.5,86.0,58.0,328.0
158.1837834411056,176.81824521364268,2629.0,88.0,58.0,329.0
161.2890717536313,176.36282027305032,2673.5,90.0,58.0,330.0
163.4071141503209,175.93257752984223,2778.5,90.0,60.0,331.0
166.02946756788805,174.94545238942248,2811.0,92.0,60.0,332.0
167.42418762671926,175.1487204778344,3041.5,92.0,62.0,333.0
169.70870919243984,175.27035008591065,3104.0,94.0,62.0,334.0
172.63770593720858,175.25867785721687,3217.0,97.0,68.0,335.0
175.15485767326732,175.0942141089109,3232.0,98.0,68.0,336.0
171.20175101430704,171.49019859064703,3902.5,99.0,79.0,337.0
183.33899905571295,173.74047843877872,3177.0,73.0,69.0,338.0
184.7584533887816,174.23258577157284,3366.5,76.0,69.0,339.0
187.6539826019342,174.85814258638285,3429.5,80.0,69.0,340.0
177.9807025478667,169.96487260666365,4422.0,112.0,80.0,341.0
181.7781326871535,170.10735396703012,4539.5,115.0,81.0,342.0
183.55614016626328,169.98453120067347,4751.5,119.0,82.0,343.0
184.9668973002306,169.81596798263465,4914.0,122.0,82.0,344.0
186.52115472238495,169.67353381501007,5121.0,125.0,82.0,345.0
188.6042609169955,168.64828183655789,5194.5,129.0,81.0,346.0
190.66663622248606,168.67327305385575,5474.5,132.0,81.0,347.0
192.98454529212077,168.87451610982072,5597.0,135.0,81.0,348.0
196.20006632949176,170.34167979437856,6030.5,139.0,81.0,349.0
203.69799096528766,171.75900499286735,5608.0,125.0,81.0,350.0
205.85459132478996,170.42587655170436,5813.5,128.0,82.0,351.0
208.99851369119074,171.31135311267363,5831.0,127.0,83.0,352.0
210.72626238221793,170.96834984295722,6208.5,128.0,84.0,353.0
212.91536009198282,171.7479878749869,6378.0,131.0,85.0,354.0
215.20522865968508,172.2385042316482,6636.5,134.0,85.0,355.0
217.78202738636645,172.68550411292526,6706.5,137.0,86.0,356.0
219.9032498616824,172.63712684323204,6928.5,140.0,86.0,357.0
222.3386888403448,172.8021281093651,7095.5,143.0,86.0,358.0
224.72042120752286,173.29279900675957,7249.0,147.0,86.0,359.0
227.32929709895652,173.59607843137255,7267.5,151.0,86.0,360.0
229.50943438558704,173.48897265037803,7428.5,155.0,87.0,361.0
231.26256077795787,173.00123806951194,7404.0,157.0,85.0,362.0
233.96693724015046,173.3389647814514,7576.5,161.0,86.0,363.0
237.3274299655818,173.61665141811528,7651.0,164.0,86.0,364.0
240.10622922697542,173.85442264393697,7772.5,166.0,88.0,365.0
243.83165004286639,174.57873826401521,7970.5,168.0,87.0,366.0
246.96645328080757,174.87964216832862,8123.0,171.0,88.0,367.0
249.79102509484105,175.14758687846145,8215.5,177.0,87.0,368.0
249.20154102696796,175.7993598221302,8695.5,184.0,88.0,369.0
252.0934503586259,176.06245753114382,8830.0,185.0,87.0,370.0
258.75595484366687,174.7320960655673,8459.5,188.0,89.0,371.0
258.6549790149248,175.28727909208965,8855.5,192.0,89.0,372.0
261.7215753996992,175.37503945926872,8975.5,195.0,90.0,373.0
261.54328331546975,175.68554841014645,9330.0,213.0,90.0,374.0
266.2920280657217,175.8968690501375,9454.0,219.0,90.0,375.0
269.4070634879232,176.26551550246057,9584.5,214.0,91.0,376.0
271.2484144844517,176.93971631205673,9776.0,216.0,91.0,377.0
274.83513076071216,177.18003237073003,9782.5,218.0,92.0,378.0
277.8454753895332,177.77438034509882,9958.5,223.0,92.0,379.0
281.1729624255766,178.274078150798,9993.5,226.0,92.0,380.0
284.2824961798196,178.89489163832337,10143.5,230.0,93.0,381.0
287.44339897177224,179.17521906424807,10309.0,234.0,92.0,382.0
290.8224439692722,179.50091074681237,10522.5,238.0,93.0,383.0
294.66965613235897,180.04659770333112,10537.0,242.0,93.0,384.0
297.78450642705604,180.59500187195806,10684.0,246.0,93.0,385.0
301.0869565217391,180.94906520960785,10706.5,249.0,93.0,386.0
304.75590055435265,181.4399963145529,10853.5,252.0,93.0,387.0
308.88397228637416,181.97248652809853,10825.0,255.0,93.0,388.0
312.6521699069382,182.34951933413188,10853.0,258.0,94.0,389.0
316.86769743683857,182.79769988377072,10898.0,261.0,93.0,390.0
321.0207194069753,183.24962024547332,10972.0,262.0,95.0,391.0
325.2776937531509,183.57349099408773,10909.5,263.0,94.0,392.0
329.9719004719004,184.06332352760924,10878.0,268.0,94.0,393.0
334.07508412894185,184.53407031809112,10945.5,271.0,95.0,394.0
337.6064705882353,184.85503770739064,11050.0,275.0,94.0,395.0
341.5758754277273,185.1783716968902,11056.5,278.0,95.0,396.0
345.6007458198003,185.65005112474435,11084.0,282.0,95.0,397.0
350.043737871324,186.10994178235558,11165.0,284.0,96.0,398.0
354.12647211702676,186.5920100987599,11222.5,288.0,96.0,399.0
358.48476917162037,187.10479697157896,11271.0,290.0,96.0,400.0
362.6506233303651,187.57430988423866,11230.0,292.0,96.0,401.0
367.4056145004421,188.07043913940464,11310.0,296.0,96.0,402.0
371.33630187564614,188.42964111652637,11285.0,297.0,97.0,403.0
376.1182381584772,188.84286557473808,11295.0,299.0,96.0,404.0
380.9716505607253,189.2264972560248,11176.0,301.0,97.0,405.0
387.6177264841216,189.76951044731084,11047.5,264.0,97.0,406.0
391.6833355919953,190.25552995738656,11068.5,261.0,97.0,407.0
395.72810062666247,190.7758291630975,11090.5,261.0,97.0,408.0
400.4039534083942,191.37191046516844,11146.5,261.0,98.0,409.0
404.3738559163867,191.70836879432622,11162.5,261.0,98.0,410.0
408.3851420441915,192.1854651076631,11246.5,262.0,99.0,411.0
412.13163322431416,192.54746751524794,11313.0,264.0,98.0,412.0
416.4704664581773,193.08907780175892,11351.5,262.0,98.0,413.0
420.0328318376444,193.53868262068156,11366.0,265.0,98.0,414.0
424.0945809786656,194.00071552693447,11413.5,261.0,98.0,415.0
427.86638408203686,194.36867097826718,11442.0,262.0,98.0,416.0
431.74569428712493,194.8057128750254,11477.0,263.0,97.0,417.0
435.21849650804666,195.12170505646407,11526.5,266.0,100.0,418.0
439.2824017996193,195.58849570283206,11558.0,264.0,100.0,419.0
436.2422173998816,197.75770368909056,12672.5,263.0,99.0,420.0
440.200638323023,198.11840498049568,12689.5,263.0,100.0,421.0
443.25393438952756,198.37880763304491,12655.5,264.0,98.0,422.0
447.4379302252816,198.93517939090526,12784.0,264.0,99.0,423.0
450.2655426356589,199.40078811369509,12900.0,266.0,99.0,424.0
451.1364311899336,201.84061560817727,15139.5,267.0,98.0,425.0
454.8670851227838,202.1860257680872,15135.0,266.0,98.0,426.0
458.8164248021108,202.73178320140718,15160.0,265.0,99.0,427.0
462.21732026143786,202.95253709591944,15096.0,268.0,98.0,428.0
466.28431992369036,203.2554487072838,15026.5,266.0,99.0,429.0
469.2221326345495,203.29126072252456,14883.0,268.0,98.0,430.0
473.65336565983097,203.83823281812977,14848.5,266.0,98.0,431.0
476.9716153254625,204.01079974668656,14738.0,267.0,98.0,432.0
481.35146196841373,204.48765914991552,14700.5,264.0,98.0,433.0
485.0262213382712,204.8085636558992,14581.0,265.0,97.0,434.0
488.42818605505425,205.02967376081912,14519.0,266.0,96.0,435.0
491.83530090589113,205.14475794818532,14442.5,266.0,97.0,436.0
495.6640099742487,205.54677759522724,14303.5,264.0,97.0,437.0
499.29007776413494,205.78492662106063,14252.5,264.0,97.0,438.0
502.917784270243,206.2138876177737,14204.5,265.0,96.0,439.0
506.15676761911556,206.4667713052474,14016.5,266.0,97.0,440.0
509.6053642624139,206.68917482179532,13795.0,261.0,97.0,441.0
513.2440741010868,206.99724065835215,13711.0,262.0,95.0,442.0
517.0170069265014,207.29236871793006,13739.5,262.0,95.0,443.0
520.4883202196239,207.5890016422776,13599.0,266.0,95.0,444.0
523.9488021494142,207.9937806303953,13399.0,259.0,94.0,445.0
527.4733870464056,207.89759540316032,13342.5,255.0,96.0,446.0
530.8918785952164,208.2039559995963,13212.0,249.0,94.0,447.0
533.6623550458834,208.40563985739473,12949.5,245.0,93.0,448.0
537.2351037355099,207.98802109525099,12925.5,242.0,108.0,449.0
539.5091174896555,207.81494824503008,12768.5,238.0,107.0,450.0
542.2444565754244,207.09033247549974,12823.0,235.0,107.0,451.0
543.5533536786756,206.84149128717317,12615.5,231.0,108.0,452.0
546.3297450728363,206.52004338046274,12448.0,227.0,120.0,453.0
547.6286729921877,206.20571459465302,12331.0,224.0,120.0,454.0
550.0839239089892,207.02354013842265,12064.5,220.0,97.0,455.0
549.1191834719863,205.99195667639412,11479.5,218.0,97.0,456.0
550.8315583410031,204.9314546171714,11408.5,216.0,107.0,457.0
553.1243220158018,202.16367001210048,11707.5,212.0,124.0,458.0
554.2815388016803,202.6376151521851,11307.5,208.0,126.0,459.0
555.3762737848318,202.28383984128416,11089.0,204.0,123.0,460.0
556.3679903730444,201.42916666666665,11080.0,199.0,126.0,461.0
557.653495912257,202.44702998712398,10743.5,197.0,107.0,462.0
558.6452758702344,202.31532086194647,10557.5,194.0,107.0,463.0
559.821609173189,202.10736947209068,10349.0,192.0,108.0,464.0

885.0183486238532,37.77064220183486,49.57798165137615
521.6762520968128,155.14893362089623,1391.0,54.0,65.0,476.0
519.6955662591083,153.92639249104607,1349.5,54.0,64.0,477.0
514.8608935306063,152.26936466492603,1149.0,37.0,61.0,478.0
512.8625384277558,152.7432293954033,1138.5,39.0,61.0,479.0
510.3590954630027,151.26864176327464,1164.5,37.0,60.0,480.0
505.78329834383015,160.01073011429904,714.5,41.0,42.0,481.0
503.79569892473114,159.9345063538612,682.0,40.0,42.0,482.0
501.7630553390491,160.85216939464794,641.5,39.0,41.0,483.0
499.1509773662551,160.0815329218107,648.0,39.0,42.0,484.0
497.2287044645302,160.40372500684742,608.5,39.0,40.0,485.0
497.61233480176213,163.4676945668135,454.0,34.0,24.0,486.0
495.59904371584696,164.09494535519124,488.0,35.0,26.0,487.0
493.71762452107276,163.34329501915707,435.0,35.0,25.0,488.0
492.3530890804597,163.00502873563218,464.0,35.0,26.0,489.0
489.97853107344633,163.03841807909603,442.5,34.0,26.0,490.0
487.56371490280776,163.01331893448523,463.0,35.0,26.0,491.0
485.42926829268293,162.50731707317073,410.0,32.0,26.0,492.0
483.7265873015873,162.35317460317458,420.0,32.0,26.0,493.0
481.66155057064145,162.24635970090515,423.5,32.0,26.0,494.0
478.5385820603212,161.62749706227967,425.5,33.0,25.0,495.0
476.44775526420335,160.6285260230433,419.5,31.0,28.0,496.0
473.7635359116022,160.1075506445672,452.5,31.0,30.0,497.0
470.75293641150256,158.62818955042528,411.5,31.0,25.0,498.0
468.2462292609351,158.98001508295624,442.0,31.0,31.0,499.0
465.5550423402617,157.47036181678212,433.0,33.0,26.0,500.0
462.663782447466,156.69015245158633,404.5,31.0,26.0,501.0
460.59820426487096,156.14665170220724,445.5,33.0,27.0,502.0
456.65143299767624,148.69403563129356,645.5,39.0,46.0,503.0
454.4955504703788,148.86753114670734,655.5,33.0,47.0,504.0
451.7875,148.73235294117646,680.0,39.0,48.0,505.0
448.5564676616915,147.26094527363185,670.0,40.0,47.0,506.0
446.6462739174219,148.02240684793554,662.0,35.0,47.0,507.0
443.16953787257313,147.77167076838938,609.5,32.0,46.0,508.0
441.07781124497984,148.07279116465864,664.0,32.0,48.0,509.0
438.3723241590214,148.76401630988786,654.0,32.0,47.0,510.0
436.4969788519638,149.1354481369587,662.0,32.0,46.0,511.0
433.4083570750237,149.37796771130104,702.0,34.0,47.0,512.0
430.69117297168685,148.8108493932905,700.5,34.0,48.0,513.0
428.44995648389903,147.95822454308095,574.5,30.0,45.0,514.0
425.90365923384786,149.72755860491708,583.0,34.0,45.0,515.0
422.96270598438855,149.62503613761203,576.5,34.0,46.0,516.0
420.7545008183306,149.8848881614839,611.0,34.0,46.0,517.0
418.58154812910595,148.35189945729792,583.5,32.0,46.0,518.0
415.5837451949478,148.66309719934102,607.0,33.0,46.0,519.0
412.46970931812007,149.40532464004346,613.5,33.0,49.0,520.0
407.2239358420728,145.3183220234423,810.5,43.0,57.0,521.0
403.98977135980743,142.71780986762937,831.0,40.0,57.0,522.0
402.1347517730496,143.34272570442783,869.5,42.0,58.0,523.0
400.0985603543743,142.80749354005167,903.0,40.0,57.0,524.0
397.89398174026456,142.5891559530464,894.5,41.0,59.0,525.0
396.4718899521531,141.7980462519936,836.0,35.0,59.0,526.0
393.24831698403534,141.42854395075975,866.5,41.0,60.0,527.0
390.96059017666465,140.81751116288098,858.5,42.0,60.0,528.0
392.3709055876685,155.82514450867052,346.0,31.0,24.0,529.0
385.976843743919,141.85561393267173,856.5,41.0,59.0,530.0
382.64325290437887,142.20428954423593,932.5,42.0,59.0,531.0
378.18245614035084,140.72456140350874,950.0,44.0,56.0,532.0
376.52332737740716,141.5761365892396,839.5,40.0,54.0,533.0
372.9655828104202,142.8199277429169,876.5,41.0,55.0,534.0
370.18926397343665,142.7118612802066,903.5,41.0,56.0,535.0
367.39793958442465,142.25737733542866,954.5,44.0,56.0,536.0
364.39016821819365,142.3674669279765,1020.5,44.0,60.0,537.0
361.37048642196356,140.53312444046554,1117.0,42.0,65.0,538.0
358.6952259164535,139.24339300937766,1173.0,43.0,66.0,539.0
355.9430650684931,138.08190639269407,1168.0,42.0,64.0,540.0
353.2206707734428,137.83039014373716,1217.5,42.0,64.0,541.0
350.97754611066557,137.92635658914728,1247.0,41.0,65.0,542.0
348.64802840116647,137.59731203245846,1314.5,43.0,64.0,543.0
346.26676657924315,136.63244660921694,1334.5,42.0,64.0,544.0
344.27977061981454,136.3566373840898,1366.0,42.0,64.0,545.0
341.95116550116546,136.60314685314685,1430.0,43.0,64.0,546.0
339.66402844689145,136.490135352145,1453.0,42.0,65.0,547.0
336.8547433167731,135.7931156848829,1409.0,43.0,63.0,548.0
334.17289377289376,135.3107448107448,1365.0,40.0,64.0,549.0
331.47566817952594,134.940872415532,1322.0,41.0,62.0,550.0
328.8028186737133,134.8428337737511,1324.5,40.0,63.0,551.0
326.50885728542914,135.2010978043912,1336.0,41.0,63.0,552.0
323.483911992878,134.2710161515961,1310.5,41.0,59.0,553.0
320.64934219096,133.80252702878727,1279.5,40.0,59.0,554.0
318.1971271001667,134.2043093497499,1299.5,40.0,59.0,555.0
315.2476228739788,133.11865541716887,1244.5,40.0,58.0,556.0
312.694804344981,132.91663394843604,1273.5,40.0,59.0,557.0
309.93717549325027,133.1660176531672,1284.0,40.0,59.0,558.0
307.44827586206895,133.0709247648903,1276.0,40.0,59.0,559.0
304.70503219025096,132.65654973065298,1268.5,41.0,59.0,560.0
302.0635814889336,132.23890006706907,1242.5,40.0,58.0,561.0
299.6822195861341,132.6213259522868,1264.5,42.0,58.0,562.0
296.8506382418739,132.4819055138834,1266.5,43.0,58.0,563.0
294.0843454790823,131.78852901484478,1235.0,41.0,57.0,564.0
291.02356345597354,131.4136695604244,1209.5,39.0,57.0,565.0
288.58305369127515,131.2248322147651,1192.0,39.0,57.0,566.0
286.29121789560895,131.79729356531342,1207.0,38.0,58.0,567.0
283.85885266198926,131.86669418076764,1211.5,39.0,58.0,568.0
281.455082243779,132.4600028117531,1185.5,37.0,58.0,569.0
279.0178028658272,133.18063395570994,1151.5,38.0,57.0,570.0
276.6248568155784,133.76374570446737,1164.0,39.0,59.0,571.0
274.4846878680801,133.97128975265016,1132.0,39.0,53.0,572.0
271.86467790747946,134.5874045251477,1156.5,40.0,54.0,573.0
269.163093196112,134.58676386506573,1166.0,42.0,54.0,574.0
266.2049403992532,135.71707597300014,1160.5,42.0,57.0,575.0
263.5702867889046,135.43974298699263,1063.5,43.0,52.0,576.0
260.8589595375723,136.6198458574181,865.0,36.0,52.0,577.0
259.22936763129684,137.7663451232583,777.5,31.0,50.0,578.0
257.29537953795375,138.66124469589815,707.0,30.0,47.0,579.0
255.5279399499583,139.43869891576313,599.5,30.0,43.0,580.0
252.80200945626473,141.89420803782505,564.0,30.0,40.0,581.0
