Frame, cxs, cys, ws, hs, areas
1445,558.7345932621199,265.893727745823,34.0,34.0,608.5
1446,556.2808273667462,266.12065765049056,35.0,34.0,628.5
1447,554.7045570916538,265.6835637480799,35.0,35.0,651.0
1448,552.5263420724094,265.63970037453186,35.0,35.0,667.5
1449,550.7076543209876,265.68716049382715,34.0,35.0,675.0
1450,549.1002670551104,265.66933721777133,35.0,36.0,686.5
1451,547.2625389968803,265.6393088552916,35.0,36.0,694.5
1452,545.7520925652387,265.3382570162482,34.0,36.0,677.0
1453,544.2166666666666,265.35870646766165,33.0,36.0,670.0
1454,542.6135881104034,265.30573248407643,33.0,38.0,706.5
1455,541.2870304748405,265.10796125679184,33.0,37.0,705.5
1456,540.0480186480186,265.07202797202797,34.0,38.0,715.0
1457,538.8193080878915,264.9516129032258,34.0,38.0,713.0
1458,537.2788656313302,264.8852126941256,35.0,40.0,740.5
1459,535.6892430278884,264.632802124834,35.0,40.0,753.0
1460,534.0356422326832,264.5507733691997,34.0,39.0,743.5
1461,532.547619047619,264.3719676549865,34.0,39.0,742.0
1462,530.6890871654084,264.67696179363986,35.0,39.0,728.5
1463,527.7767761322172,264.83666022751663,45.0,39.0,776.5
1464,526.9570110285842,264.7350889038937,36.0,39.0,740.5
1465,525.089877835951,264.93411867364745,36.0,40.0,764.0
1466,522.1568023016852,265.5008220304151,47.0,39.0,811.0
1467,520.4197381671702,265.85699899295065,47.0,40.0,827.5
1468,518.0319552626323,266.039344917116,48.0,39.0,834.5
1469,517.8510362694301,266.205310880829,36.0,39.0,772.0
1470,514.2808697386794,266.5902653101935,48.0,39.0,835.5
1471,512.1318392893196,266.9685039370079,47.0,39.0,825.5
1472,511.5091456853884,266.9324295244243,37.0,39.0,774.5
1473,509.5769230769231,267.17264957264956,36.0,38.0,780.0
1474,507.6946056307758,267.5813453685794,38.0,39.0,775.5
1475,506.215200868621,267.87383279044514,34.0,38.0,767.5
1476,504.3878226340172,267.8769027134348,34.0,38.0,755.5
1477,502.44684095860566,267.49389978213503,35.0,38.0,765.0
1478,500.7859811030542,267.2366512854318,34.0,39.0,758.5
1479,499.1106166560712,267.3273998728544,35.0,40.0,786.5
1480,497.53912859560063,266.9640439932318,35.0,40.0,788.0
1481,496.09117708991363,266.7142556327648,35.0,41.0,791.5
1482,494.0750404530744,266.8501213592233,36.0,41.0,824.0
1483,491.83738895326377,267.03611432985707,38.0,41.0,863.0
1484,489.5258834765998,266.97077363896847,38.0,41.0,872.5
1485,488.33081896551727,267.0851293103448,38.0,42.0,928.0
1486,486.3404725480197,267.44144144144144,38.0,43.0,980.5
1487,484.73595800524936,267.2402449693788,38.0,44.0,952.5
1488,483.22099350535365,267.35720554677897,37.0,44.0,949.5
1489,481.60078768349445,267.1120658789832,35.0,44.0,931.0
1490,479.9357781426747,267.618682722131,33.0,44.0,913.5
1491,478.14023847659723,268.0832888414309,32.0,43.0,936.5
1492,476.2808870116156,268.3477648715241,34.0,45.0,947.0
