areas, ws, hs
cxs[i],cys[i],object_areas[i],ws[i],hs[i],framenr[i]

832.955223880597,35.07462686567164,44.201492537313435
558.7345932621199,265.893727745823,608.5,34.0,34.0,1445.0
556.2808273667462,266.12065765049056,628.5,35.0,34.0,1446.0
554.7045570916538,265.6835637480799,651.0,35.0,35.0,1447.0
552.5263420724094,265.63970037453186,667.5,35.0,35.0,1448.0
550.7072205736894,265.66815034619185,674.0,34.0,35.0,1449.0
549.1135424264527,265.65353756382206,685.5,35.0,36.0,1450.0
547.2625389968803,265.6393088552916,694.5,35.0,36.0,1451.0
545.7520925652387,265.3382570162482,677.0,34.0,36.0,1452.0
544.2166666666666,265.35870646766165,670.0,33.0,36.0,1453.0
542.6135881104034,265.30573248407643,706.5,33.0,38.0,1454.0
541.2870304748405,265.10796125679184,705.5,33.0,37.0,1455.0
540.0480186480186,265.07202797202797,715.0,34.0,38.0,1456.0
538.8293650793651,264.9733893557423,714.0,34.0,38.0,1457.0
537.2788656313302,264.8852126941256,740.5,35.0,40.0,1458.0
535.6892430278884,264.632802124834,753.0,35.0,40.0,1459.0
534.0356422326832,264.5507733691997,743.5,34.0,39.0,1460.0
532.547619047619,264.3719676549865,742.0,34.0,39.0,1461.0
530.6890871654084,264.67696179363986,728.5,35.0,39.0,1462.0
527.7767761322172,264.83666022751663,776.5,45.0,39.0,1463.0
526.9570110285842,264.7350889038937,740.5,36.0,39.0,1464.0
525.089877835951,264.93411867364745,764.0,36.0,40.0,1465.0
522.1568023016852,265.5008220304151,811.0,47.0,39.0,1466.0
520.4197381671702,265.85699899295065,827.5,47.0,40.0,1467.0
518.0319552626323,266.039344917116,834.5,48.0,39.0,1468.0
517.8510362694301,266.205310880829,772.0,36.0,39.0,1469.0
514.2808697386794,266.5902653101935,835.5,48.0,39.0,1470.0
512.1318392893196,266.9685039370079,825.5,47.0,39.0,1471.0
511.5091456853884,266.9324295244243,774.5,37.0,39.0,1472.0
509.5769230769231,267.17264957264956,780.0,36.0,38.0,1473.0
507.6946056307758,267.5813453685794,775.5,38.0,39.0,1474.0
506.215200868621,267.87383279044514,767.5,34.0,38.0,1475.0
504.3878226340172,267.8769027134348,755.5,34.0,38.0,1476.0
502.44684095860566,267.49389978213503,765.0,35.0,38.0,1477.0
500.7859811030542,267.2366512854318,758.5,34.0,39.0,1478.0
499.1106166560712,267.3273998728544,786.5,35.0,40.0,1479.0
497.53912859560063,266.9640439932318,788.0,35.0,40.0,1480.0
496.09117708991363,266.7142556327648,791.5,35.0,41.0,1481.0
494.0750404530744,266.8501213592233,824.0,36.0,41.0,1482.0
491.83738895326377,267.03611432985707,863.0,38.0,41.0,1483.0
489.5258834765998,266.97077363896847,872.5,38.0,41.0,1484.0
488.33081896551727,267.0851293103448,928.0,38.0,42.0,1485.0
486.3404725480197,267.44144144144144,980.5,38.0,43.0,1486.0
484.73595800524936,267.2402449693788,952.5,38.0,44.0,1487.0
483.22099350535365,267.35720554677897,949.5,37.0,44.0,1488.0
481.60078768349445,267.1120658789832,931.0,35.0,44.0,1489.0
479.9357781426747,267.618682722131,913.5,33.0,44.0,1490.0
478.14023847659723,268.0832888414309,936.5,32.0,43.0,1491.0
476.2808870116156,268.3477648715241,947.0,34.0,45.0,1492.0
474.244177963156,268.7831074035454,959.0,34.0,45.0,1493.0
471.6963226571767,268.8864599220471,983.5,37.0,45.0,1494.0
469.3669052488071,269.40405589638715,978.0,35.0,45.0,1495.0
467.38534646621736,269.50388802488334,964.5,34.0,45.0,1496.0
464.50258204231216,269.4309511910711,1000.5,36.0,46.0,1497.0
462.170752042688,269.83558445889605,999.5,37.0,46.0,1498.0
460.15620437956204,269.81589618815894,1027.5,37.0,46.0,1499.0
457.86917647058823,270.0312156862745,1062.5,37.0,46.0,1500.0
455.70705685108976,269.7319006249047,1093.5,38.0,47.0,1501.0
454.6639540449976,269.4648157012925,1044.5,39.0,47.0,1502.0
453.28694768918234,267.68071779244957,984.5,38.0,47.0,1503.0
451.8549250535332,266.7940756602427,934.0,40.0,48.0,1504.0
450.0722598575647,266.5409067222512,959.5,38.0,48.0,1505.0
447.786036036036,265.92498267498263,962.0,38.0,48.0,1506.0
